epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.298,1.17649,2.72153,3.31827,1.40003,0.47253,0.12235,0.06695,0.04584,0.46173,0.10822,0.0555,0.03085,1.21375,3.52852,3.15867,1.52431,0.067053,0.000332798,0.000332798
2,1053.21,1.1744,2.60963,2.95589,1.40278,0.52116,0.12181,0.07572,0.05252,0.52096,0.12114,0.07435,0.04726,1.13271,2.48881,2.87041,1.41848,0.0340497,0.000662834,0.000662834
3,2017.26,1.16112,2.55993,2.83676,1.39371,0.48297,0.14159,0.09495,0.06669,0.48282,0.14064,0.09541,0.06296,1.10507,2.25401,2.71723,1.397,0.00104307,0.00098957,0.00098957
